,SPY,QQQ
Ticker,SPY,QQQ
Date,,
2016-10-26,213.74000549316406,118.37999725341797
2016-10-27,213.1699981689453,117.83999633789062
2016-10-28,212.5399932861328,117.0999984741211
2016-10-31,212.5500030517578,116.98999786376953
2016-11-01,211.00999450683594,116.11000061035156
2016-11-02,209.74000549316406,115.18000030517578
2016-11-03,208.77999877929688,114.05000305175781
2016-11-04,208.5500030517578,113.6500015258789
2016-11-07,213.14999389648438,116.3499984741211
2016-11-08,214.11000061035156,117.11000061035156
2016-11-09,216.3800048828125,117.6500015258789
2016-11-10,216.9199981689453,115.75
2016-11-11,216.4199981689453,115.80000305175781
2016-11-14,216.58999633789062,114.62999725341797
2016-11-15,218.27999877929688,116.22000122070312
2016-11-16,217.8699951171875,116.91000366210938
2016-11-17,218.99000549316406,117.76000213623047
2016-11-18,218.5,117.31999969482422
2016-11-21,220.14999389648438,118.54000091552734
2016-11-22,220.5800018310547,118.9000015258789
2016-11-23,220.6999969482422,118.41999816894531
2016-11-25,221.52000427246094,118.80000305175781
2016-11-28,220.47999572753906,118.52999877929688
2016-11-29,220.91000366210938,118.94000244140625
2016-11-30,220.3800048828125,117.5
2016-12-01,219.57000732421875,115.47000122070312
2016-12-02,219.67999267578125,115.69999694824219
2016-12-05,221.0,116.5999984741211
2016-12-06,221.6999969482422,116.87999725341797
2016-12-07,224.60000610351562,118.36000061035156
2016-12-08,225.14999389648438,118.56999969482422
2016-12-09,226.50999450683594,119.5
2016-12-12,226.25,118.95999908447266
2016-12-13,227.75999450683594,120.45999908447266
2016-12-14,225.8800048828125,120.20999908447266
2016-12-15,226.80999755859375,120.4000015258789
2016-12-16,225.0399932861328,119.5999984741211
2016-12-19,225.52999877929688,120.08999633789062
2016-12-20,226.39999389648438,120.55000305175781
2016-12-21,225.77000427246094,120.45999908447266
2016-12-22,225.3800048828125,120.12000274658203
2016-12-23,225.7100067138672,120.19999694824219
2016-12-27,226.27000427246094,120.81999969482422
2016-12-28,224.39999389648438,119.87999725341797
2016-12-29,224.35000610351562,119.70999908447266
2016-12-30,223.52999877929688,118.4800033569336
2017-01-03,225.24000549316406,119.54000091552734
2017-01-04,226.5800018310547,120.19000244140625
2017-01-05,226.39999389648438,120.87000274658203
2017-01-06,227.2100067138672,121.93000030517578
2017-01-09,226.4600067138672,122.33000183105469
2017-01-10,226.4600067138672,122.5999984741211
2017-01-11,227.10000610351562,122.93000030517578
2017-01-12,226.52999877929688,122.73999786376953
2017-01-13,227.0500030517578,123.16000366210938
2017-01-17,226.25,122.79000091552734
2017-01-18,226.75,123.04000091552734
2017-01-19,225.91000366210938,122.9800033569336
2017-01-20,226.74000549316406,123.25
2017-01-23,226.14999389648438,123.3499984741211
2017-01-24,227.60000610351562,124.18000030517578
2017-01-25,229.57000732421875,125.43000030517578
2017-01-26,229.3300018310547,125.55999755859375
2017-01-27,228.97000122070312,125.80000305175781
2017-01-30,227.5500030517578,124.81999969482422
2017-01-31,227.52999877929688,124.56999969482422
2017-02-01,227.6199951171875,125.43000030517578
2017-02-02,227.77000427246094,125.31999969482422
2017-02-03,229.33999633789062,125.68000030517578
2017-02-06,228.92999267578125,125.83000183105469
2017-02-07,228.94000244140625,126.29000091552734
2017-02-08,229.24000549316406,126.5
2017-02-09,230.60000610351562,126.95999908447266
2017-02-10,231.50999450683594,127.37999725341797
2017-02-13,232.77000427246094,128.10000610351562
2017-02-14,233.6999969482422,128.52999877929688
2017-02-15,234.9199981689453,129.2899932861328
2017-02-16,234.72000122070312,129.25
2017-02-17,235.08999633789062,129.80999755859375
2017-02-21,236.49000549316406,130.4499969482422
2017-02-22,236.27999877929688,130.5
2017-02-23,236.44000244140625,130.00999450683594
2017-02-24,236.74000549316406,130.25999450683594
2017-02-27,237.11000061035156,130.4199981689453
2017-02-28,236.47000122070312,130.02000427246094
2017-03-01,239.77999877929688,131.44000244140625
2017-03-02,238.27000427246094,130.77999877929688
2017-03-03,238.4199981689453,131.02000427246094
2017-03-06,237.7100067138672,130.72999572753906
2017-03-07,237.0,130.50999450683594
2017-03-08,236.55999755859375,130.74000549316406
2017-03-09,236.86000061035156,130.83999633789062
2017-03-10,237.69000244140625,131.38999938964844
2017-03-13,237.80999755859375,131.61000061035156
2017-03-14,236.89999389648438,131.2899932861328
2017-03-15,238.9499969482422,132.10000610351562
2017-03-16,238.47999572753906,132.00999450683594
2017-03-17,237.02999877929688,131.69000244140625
2017-03-20,236.77000427246094,131.80999755859375
2017-03-21,233.72999572753906,129.80999755859375
2017-03-22,234.27999877929688,130.69000244140625
2017-03-23,234.02999877929688,130.36000061035156
2017-03-24,233.86000061035156,130.6300048828125
2017-03-27,233.6199951171875,130.83999633789062
2017-03-28,235.32000732421875,131.63999938964844
2017-03-29,235.5399932861328,132.25
2017-03-30,236.2899932861328,132.47000122070312
2017-03-31,235.74000549316406,132.3800048828125
2017-04-03,235.3300018310547,132.3000030517578
2017-04-04,235.47999572753906,132.50999450683594
2017-04-05,234.77999877929688,131.97000122070312
2017-04-06,235.44000244140625,132.0399932861328
2017-04-07,235.1999969482422,131.97000122070312
2017-04-10,235.33999633789062,132.02000427246094
2017-04-11,235.05999755859375,131.4499969482422
2017-04-12,234.02999877929688,130.9199981689453
2017-04-13,232.50999450683594,130.39999389648438
2017-04-17,234.57000732421875,131.47999572753906
2017-04-18,233.8699951171875,131.27999877929688
2017-04-19,233.44000244140625,131.49000549316406
2017-04-20,235.33999633789062,132.58999633789062
2017-04-21,234.58999633789062,132.55999755859375
2017-04-24,237.1699981689453,134.16000366210938
2017-04-25,238.5500030517578,135.1300048828125
2017-04-26,238.39999389648438,134.94000244140625
2017-04-27,238.60000610351562,135.75
2017-04-28,238.0800018310547,135.99000549316406
2017-05-01,238.67999267578125,137.1999969482422
2017-05-02,238.77000427246094,137.42999267578125
2017-05-03,238.47999572753906,136.99000549316406
2017-05-04,238.75999450683594,137.0399932861328
